no.,crash_year,crash_month,crash_date,crash_hour,crash_minute,crash_area,crash_country,operator,flight,crash_route_start,crash_route_mid,crash_route_end,type,registration,fuselage_number,aboard,fatalities,ground,summary,crash_reason,survived,crash_survivor,crash_opr_type,lon,lat,
1,1908,9,17,22,18,Fort Myer,USA,Military - U.S. Army,NA,Demonstration,NA,NA,Wright Flyer III,NA,1,102,3,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",miscellaneous,99,alive,Military,-77.0810889,38.883541,
2,1912,7,12,35,30,AtlantiCity,USA,Military - U.S. Navy,NA,Test flight,NA,NA,Dirigible,NA,NA,187,188,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",miscellaneous,0,dead,Military,-74.4229266,39.3642834,
3,1913,8,6,2,0,Victoria,Canada,Private,-,NA,NA,NA,Curtiss seaplane,NA,NA,2,3,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",miscellaneous,0,dead,Civilian,-97.0035982,28.8052674,
4,1913,9,9,23,30,Over the North Sea,NA,Military - German Navy,NA,NA,NA,NA,Zeppelin L-1 (airship),NA,NA,103,52,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,miscellaneous,51,alive,Military,3.515625,56.511018,
5,1913,10,17,13,30,Near Johannisthal,Germany,Military - German Navy,NA,NA,NA,NA,Zeppelin L-2 (airship),NA,NA,150,149,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",technical_failure,1,alive,Military,13.5039931,52.4367582,
6,1915,3,5,12,0,Tienen,Belgium,Military - German Navy,NA,NA,NA,NA,Zeppelin L-8 (airship),NA,NA,178,108,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,miscellaneous,70,alive,Military,4.93622,50.81057,
7,1915,9,3,20,20,Off Cuxhaven,Germany,Military - German Navy,NA,NA,NA,NA,Zeppelin L-10 (airship),NA,NA,95,99,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",technical_failure,0,dead,Military,8.6879057,53.859336,
8,1916,7,28,2,0,Near Jambol, Bulgeria,Military - German Army,NA,NA,NA,NA,Schutte-Lanz S-L-10 (airship),NA,NA,103,105,0,"Crashed near the Black Sea, cause unknown.",miscellaneous,0,dead,Military,26.5035023,42.4841999,
9,1916,9,24,12,0,Billericay,England,Military - German Navy,NA,NA,NA,NA,Zeppelin L-32 (airship),NA,NA,113,112,0,Shot down by British aircraft crashing in flames.,miscellaneous,1,alive,Military,0.418397,51.627903,
10,1916,10,1,31,45,Potters Bar,England,Military - German Navy,NA,NA,NA,NA,Zeppelin L-31 (airship),NA,NA,95,99,0,Shot down in flames by the British 39th Home Defence Squadron.,miscellaneous,0,dead,Military,-0.175948,51.696636,
11,1916,11,21,2,0,Mainz,Germany,Military - German Army,NA,NA,NA,NA,Super Zeppelin (airship),NA,NA,142,137,0,Crashed in a storm.,miscellaneous,5,alive,Military,8.2472526,49.9928617,
12,1916,11,28,31,45,Off West Hartlepool,England,Military - German Navy,NA,NA,NA,NA,Zeppelin L-34 (airship),NA,NA,103,105,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,miscellaneous,0,dead,Military,-1.212926,54.691745,
13,1917,3,4,2,0,Near Gent,Belgium,Military - German Army,NA,NA,NA,NA,Airship,NA,NA,103,105,0,Caught fire and crashed.,miscellaneous,0,dead,Military,3.7174243,51.0543422,
14,1917,3,30,2,0,Off Northern Germany,NA,Military - German Navy,NA,NA,NA,NA,Schutte-Lanz S-L-9 (airship),NA,NA,120,119,0,Struck by lightning and crashed into the BaltiSea.,miscellaneous,1,alive,Military,NA,NA,
15,1917,5,14,34,15,Near Texel Island, North Sea,Military - German Navy,NA,NA,NA,NA,Zeppelin L-22 (airship),NA,NA,107,108,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",miscellaneous,0,dead,Military,4.7977149,53.0547626,
16,1917,6,14,37,45,Off Vlieland Island, North Sea,Military - German Navy,NA,NA,NA,NA,Zeppelin L-43 (airship),NA,NA,124,124,0,Shot down by British aircraft.,miscellaneous,0,dead,Military,4.9556956,53.2606424,
17,1917,8,21,36,0,Off western Denmark,NA,Military - German Navy,NA,NA,NA,NA,Zeppelin L-23 (airship),NA,NA,87,90,0,Shot down by British aircraft.,miscellaneous,0,dead,Military,-81.1347958,33.3264075,
18,1917,10,20,36,45,Near Luneville,France,Military - German Navy,NA,NA,NA,NA,Zeppelin L-44 (airship),NA,NA,87,90,0,Shot down by French anti-aircraft fire.,miscellaneous,0,dead,Military,6.492339,48.592237,
19,1918,4,7,28,30,Over the Mediterranean,NA,Military - German Navy,NA,NA,NA,NA,Zeppelin L-59 (airship),NA,NA,120,119,0,Exploded and crashed into the sea off the southern coast of Italy.,miscellaneous,1,alive,Military,18.0480105,34.5531284,
20,1918,5,10,2,0,Off Helgoland Island,Germany,Military - German Navy,NA,NA,NA,NA,Zeppelin L-70 (airship),NA,NA,113,112,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",miscellaneous,1,alive,Military,7.8827444,54.1833116,
21,1918,8,11,13,0,Ameland Island, North Sea,Military - German Navy,NA,NA,NA,NA,Zeppelin L-53 (airship),NA,NA,95,99,0,Shot down by british aircraft.,miscellaneous,0,dead,Military,5.7906079,53.4500611,
22,1918,12,16,2,0,Elizabeth,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,97,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-97.0657069,36.1192799,
23,1919,5,25,2,0,Cleveland,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,61,NA,2,3,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,technical_failure,0,dead,Civilian,-81.6943605,41.49932,
24,1919,7,19,2,0,Dix Run,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,82,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-77.9395179,40.9064,
25,1919,10,2,2,0,Newcastle,England,Aircraft Transport and Travel,NA,NA,NA,NA,De Havilland DH-4,NA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-1.61778,54.978252,
26,1919,10,14,2,0,Cantonsville,USA,US Aerial Mail Service,NA,NA,NA,NA,Curtiss R-4LM,32,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-76.7319161,39.2720509,
27,1919,10,20,2,0,English Channel,NA,Aircraft Transport and Travel,NA,NA,NA,NA,De Havilland DH-4,GEAHG,NA,1,1,NA,NA,miscellaneous,0,dead,Civilian,-0.357056,50.134664,
28,1919,10,30,2,0,Long Valley,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH.4,77,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-74.7801645,40.7859331,
29,1920,3,10,2,0,New Paris,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,65,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-85.8307059,41.5033572,
30,1920,3,30,2,0,Newark,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,72,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-74.1723667,40.735657,
31,1920,4,10,2,0,Newark,USA,US Aerial Mail Service,NA,NA,NA,NA,Curtiss R-4LM,49,NA,102,3,0,NA,miscellaneous,99,alive,Civilian,-74.1723667,40.735657,
32,1920,4,11,2,0,Heller Field,USA,US Aerial Mail Service,NA,NA,NA,NA,Curtiss JN-4H,44,NA,102,3,0,NA,miscellaneous,99,alive,Civilian,-97.1136308,34.2203656,
33,1920,5,12,2,0,Oskaloosa,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,79,NA,102,3,0,NA,miscellaneous,99,alive,Civilian,-92.6493595,41.2916728,
34,1920,6,6,2,0,Cleveland,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,204,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-81.6943605,41.49932,
35,1920,8,16,2,0,Bedford,England,By Air,NA,NA,NA,NA,Armstrong-Whitworth F-K-8,GEALW,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-0.460150398,52.14207757,
36,1920,8,16,2,0,College Park,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,317,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-84.4493725,33.6534427,
37,1920,9,1,2,0,Morristown,USA,US Aerial Mail Service,NA,NA,NA,NA,Junkers JL-6,305,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,-74.4815438,40.7967667,
38,1920,9,15,2,0,Pemberville,USA,US Aerial Mail Service,NA,NA,NA,NA,Junkers F-13,308,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,-83.46104,41.4108855,
39,1920,9,27,2,0,Hillersburg,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,316,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,NA,NA,
40,1920,10,2,2,0,Off Port Vendres,France,Latecoere Airlines,NA,NA,NA,NA,Salmson 2-A-2,FALAI,31,102,103,0,NA,miscellaneous,0,dead,Civilian,3.106592,42.518487,
41,1920,10,5,2,0,Valencia,Spain,Latecoere Airlines,NA,NA,NA,NA,Breguet 14,FALTA,20,102,103,0,Crashed while landing.,technical_failure,0,dead,Civilian,-0.374471619,39.47672586,
42,1920,10,15,2,0,Batavia,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,76,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-88.3125738,41.8500284,
43,1920,11,7,2,0,Tie Siding,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,NA,178,2,3,0,NA,miscellaneous,0,dead,Civilian,-105.5074905,41.0802621,
44,1920,12,14,2,0,Cricklewood,England,Handley Page Transport,NA,NA,NA,NA,Handley Page HP-16,GEAMA,HP-25,223,169,0,Crashed into a tree on take off in fog.,miscellaneous,54,alive,Civilian,-0.2163581,51.5581887,
45,1920,12,24,2,0,Barcelona,Spain,Aeropostale,NA,NA,NA,NA,Breguet 14,FALBO,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,2.152542584,41.39348105,
46,1921,2,3,2,0,Mendotta,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,130,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-89.1175851,41.5472547,
47,1921,2,9,2,0,La Crosse,USA,US Aerial Mail Service,NA,NA,NA,NA,Junkers F-13,301,NA,149,147,0,NA,miscellaneous,2,alive,Civilian,-91.2519017,43.8137751,
48,1921,2,15,2,0,Off Gibraltar,Spain,Aeropostale,NA,NA,NA,NA,Breguet 14,FALBA,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,-5.353585,36.140751,
49,1921,2,22,2,0,Elko,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,67,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-115.7631232,40.8324211,
50,1921,4,6,2,0,Point Cook,Australia,Military - Royal Australian Air Force,NA,NA,NA,NA,NA,H3021,NA,102,3,0,NA,miscellaneous,99,alive,Military,144.7477259,-37.9178086,
