word,frequency
crashed,3406
aircraft,2530
plane,2050
flight,1283
pilot,1080
runway,1017
approach,1002
engine,974
failure,924
crew,873
landing,781
airport,741
weather,656
altitude,650
taking,586
conditions,577
land,575
mountain,569
takeoff,558
control,536
cargo,525
ground,524
struck,520
fire,503
miles,480
route,478
attempting,470
accident,394
lost,388
poor,381
left,379
shortly,368
killed,364
feet,351
loss,350
pilots,348
right,344
fog,341
due,339
failed,330
terrain,328
fuel,324
flying,321
short,317
air,310
low,307
two,305
emergency,290
area,282
wing,280
trees,278
one,269
power,269
minutes,265
error,254
caused,252
descent,252
hit,241
high,240
sea,235
vfr,234
rain,225
heavy,219
improper,218
helicopter,216
maintain,211
captain,205
cause,203
crash,202
turn,199
flew,198
broke,191
engines,191
resulted,190
flames,185
visibility,185
instrument,182
water,181
speed,181
made,176
time,175
continued,172
procedures,172
aboard,167
stalled,167
burned,166
attempted,164
contributing,164
adverse,162
reported,158
take,157
collided,157
found,156
final,154
field,153
collision,153
shot,152
visual,152
took,151
attempt,151
airplane,150
descended,150
lack,150
passengers,149
system,149
near,148
decision,146
goaround,145
night,144
gear,142
caught,140
turbulence,138
inadequate,138
climb,137
hill,136
make,135
nose,134
passenger,133
stall,132
led,131
went,130
resulting,129
causing,128
severe,128
icing,127
ifr,127
course,126
mountains,126
unknown,125
first,122
three,122
minimum,121
fatigue,121
midair,120
making,119
undetermined,118
landed,117
wreckage,116
return,115
military,112
snow,111
clearance,110
height,109
factors,109
burst,108
reasons,107
mountainous,107
contact,106
without,104
exploded,103
side,103
end,103
carrying,102
descending,102
attitude,102
later,99
tried,99
propeller,98
following,97
steep,97
possible,97
position,97
maintenance,97
named,96
disappeared,96
river,95
back,95
crews,94
atc,94
thunderstorm,92
entered,91
use,90
aircrafts,89
ocean,89
north,87
airspeed,85
impacted,85
procedure,85
overran,85
training,85
cockpit,84
planes,84
just,83
winds,83
cabin,83
follow,83
forced,82
warning,82
began,81
copilot,81
second,81
tail,80
lake,80
radio,79
clouds,79
rate,79
fly,78
airliner,78
radar,78
island,77
became,77
ran,77
level,77
dive,76
unable,76
elevator,76
part,75
avoid,75
occurred,74
came,74
south,74
safe,74
wooded,74
factor,74
base,73
may,72
tower,72
ils,72
international,72
fuselage,70
approximately,69
result,69
captains,69
missed,69
proper,68
killing,67
force,67
ice,67
impact,66
four,66
operation,66
prescribed,66
experienced,66
jet,66
bank,65
properly,65
adequate,65
